127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 200, 0.000338
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 200, 0.002502
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 200, 0.000474
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 200, 0.001047
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000366
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/favicon.ico, HTTP/1.1, 200, 0.000609
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000506
127.0.0.1, 2011-10-30 00:47:30, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/default/index, HTTP/1.1, 200, 0.029758
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.000401
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000512
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.001145
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.000680
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.001153
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.000296
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.001185
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000882
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.000588
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000420
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000388
127.0.0.1, 2011-10-30 00:54:42, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000359
127.0.0.1, 2011-10-30 01:24:16, GET, /w2cms/default/index, HTTP/1.1, 200, 0.022770
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.002033
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.001792
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.001687
127.0.0.1, 2011-10-30 01:24:17, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.003250
